English,Polski
forced,wymuszony
operation,operacja
suck,ssać
offered,oferowany
ends,kończy się
dump,wysypisko
remembered,pamiętany
lieutenant,porucznik
trade,handel
thanksgiving,święto Dziękczynienia
rain,deszcz
revenge,Zemsta
physical,fizyczny
available,do dyspozycji
program,program
prefer,woleć
baby's,kochanie
spare,zapasowy
pray,módl się
disappeared,zniknął
aside,na bok
statement,oświadczenie
sometime,czasami
animal,zwierzę
sugar,cukier
meat,mięso
fantastic,fantastyczny
breathing,oddechowy
itself,samo
tip,Wskazówka
stood,stał
market,rynek
affair,romans
ours,nasz
depends,zależy
cook,gotować
main,Główny
woods,Las
protecting,chroniący
jury,jury
national,krajowy
storm,burza
large,duży
prince,książę
interview,wywiad
roger,zrozumiałem
football,piłka nożna
fingers,palce
murdered,zamordowany
sexy,seksowny
explanation,wyjaśnienie
process,proces
picking,owocobranie
based,na podstawie
style,styl
stone,kamień
pieces,sztuki
assistant,asystent
stronger,silniejszy
block,blok
Newman,Nowy człowiek
bullshit,głupie gadanie
pie,ciasto
handsome,przystojny
unbelievable,nie do wiary
anytime,w każdej chwili
nearly,prawie
shake,potrząsnąć
everyone's,Wszyscy
cars,samochody
serve,służyć
pulling,ciągnięcie
points,zwrotnica
medicine,Medycyna
facts,fakty
waited,czekał
lousy,parszywy
circumstances,okoliczności
stage,scena
disappointed,zawiedziony
weak,słaby
trusted,zaufany
license,licencja
nothin,nic
community,społeczność
trey,Trey
trash,śmieci
understanding,zrozumienie
slip,poślizg
cab,taksówka
sounded,brzmiało
awake,obudzony
friendship,przyjaźń
stomach,brzuch
weapon,broń
threatened,zagrożony
Don,przywdziewać
mystery,zagadka
official,urzędnik
Lee,Zawietrzny
dick,kutas
regular,regularny
river,rzeka
understood,zrozumiany
contract,kontrakt
bud,pączek
sexual,seksualny
race,wyścigi
basically,zasadniczo
switch,przełącznik
lake,jezioro
frankly,szczerze
issues,zagadnienia
cheap,tani
lifetime,dożywotni
deny,zaprzeczyć
painting,obraz
ear,ucho
clock,zegar
weight,waga
garbage,Śmieci
why'd,dlaczego
tear,łza
ears,uszy
dig,kopać
bullet,pocisk
selling,sprzedawanie
setting,ustawienie
indeed,rzeczywiście
changing,wymiana pieniędzy
singing,śpiewanie
tiny,malutki
particular,szczególny
draw,remis
decent,przyzwoity
spring,wiosna
avoid,unikać
messed,pomieszany
united,zjednoczony
filled,wypełniony
touched,wzruszony
score,wynik
people's,narody
disappear,znikać
stranger,nieznajomy
exact,dokładny
pills,pigułki
kicked,kopnięty
harm,szkoda
recently,ostatnio
ma,mama
snow,śnieg
fortune,fortuna
strike,strajk
pretending,udawanie
raised,uniesiony
monkey,małpa
insurance,ubezpieczenie
fancy,wymyślny
drove,stado
cared,opieka
belongs,należy
nights,Noce
shape,kształt
dogs,psy
base,baza
lift,wyciąg
Lewis,Chwytak
stock,Zbiory
fashion,moda
freedom,wolność
timing,wyczucie czasu
chest,Klatka piersiowa
bridge,most
woke,obudził
source,źródło
patients,pacjentów
theory,teoria
camp,obóz
original,oryginał
juice,sok
burned,spalony
access,dostęp
watched,Obejrzane
heading,nagłówek
selfish,samolubny
oil,olej
wise,mądry
failed,przegrany
period,Kropka
doll,Lalka
elevator,winda
freeze,zamrażać
noise,hałas
exist,istnieć
science,nauki ścisłe
pair,para
edge,krawędź
wasting,zmarnowanie
sat,Sob
player,gracz
ceremony,ceremonia
cartman,cartman
pig,świnia
uncomfortable,niewygodny
peg,kołek
guns,pistolety
vacation,wakacje
staring,gapiowski
files,pliki
bike,rower
weather,pogoda
name's,nazwy
stress,naprężenie
sucks,ssie
permission,pozwolenie
arrived,przybył
thrown,rzucony
possibility,możliwość
